<DIMENSION> 51
<VEHICLE_CAPACITY>	100
<NUMBER_OF_VEHICLES>	22
<TIME_HORIZON>	299
<VERTICES> XCOORD - YCOORD - DEMAND - OPENING_TW - CLOSING_TW - SERVICE_TIME - RELEASE DATE </VERTICES>
40	50	 0	 0	 0	 0	 0
45	68	 0	 0	 0	 0	0
45	70	 0	 0	 0	 0	26
42	66	 0	 0	 0	 0	34
42	68	 0	 0	 0	 0	33
42	65	 0	 0	 0	 0	25
40	69	 0	 0	 0	 0	87
40	66	 0	 0	 0	 0	65
38	68	 0	 0	 0	 0	86
38	70	 0	 0	 0	 0	100
35	66	 0	 0	 0	 0	44
35	69	 0	 0	 0	 0	19
25	85	 0	 0	 0	 0	104
22	75	 0	 0	 0	 0	7
22	85	 0	 0	 0	 0	63
20	80	 0	 0	 0	 0	79
20	85	 0	 0	 0	 0	8
18	75	 0	 0	 0	 0	88
15	75	 0	 0	 0	 0	59
15	80	 0	 0	 0	 0	31
30	50	 0	 0	 0	 0	72
30	52	 0	 0	 0	 0	82
28	52	 0	 0	 0	 0	47
28	55	 0	 0	 0	 0	4
25	50	 0	 0	 0	 0	52
25	52	 0	 0	 0	 0	108
25	55	 0	 0	 0	 0	6
23	52	 0	 0	 0	 0	100
23	55	 0	 0	 0	 0	69
20	50	 0	 0	 0	 0	25
20	55	 0	 0	 0	 0	103
10	35	 0	 0	 0	 0	42
10	40	 0	 0	 0	 0	115
8	40	 0	 0	 0	 0	36
8	45	 0	 0	 0	 0	111
5	35	 0	 0	 0	 0	16
5	45	 0	 0	 0	 0	63
2	40	 0	 0	 0	 0	109
0	40	 0	 0	 0	 0	77
0	45	 0	 0	 0	 0	96
35	30	 0	 0	 0	 0	103
35	32	 0	 0	 0	 0	99
33	32	 0	 0	 0	 0	91
33	35	 0	 0	 0	 0	17
32	30	 0	 0	 0	 0	82
30	30	 0	 0	 0	 0	83
30	32	 0	 0	 0	 0	20
30	35	 0	 0	 0	 0	77
28	30	 0	 0	 0	 0	97
28	35	 0	 0	 0	 0	15
26	32	 0	 0	 0	 0	71
