<DIMENSION> 21
<VEHICLE_CAPACITY>	100
<NUMBER_OF_VEHICLES>	22
<TIME_HORIZON>	150
<VERTICES> XCOORD - YCOORD - DEMAND - OPENING_TW - CLOSING_TW - SERVICE_TIME - RELEASE DATE </VERTICES>
40	50	 0	 0	 0	 0	 0
45	68	 0	 0	 0	 0	0
45	70	 0	 0	 0	 0	13
42	66	 0	 0	 0	 0	17
42	68	 0	 0	 0	 0	17
42	65	 0	 0	 0	 0	13
40	69	 0	 0	 0	 0	44
40	66	 0	 0	 0	 0	33
38	68	 0	 0	 0	 0	44
38	70	 0	 0	 0	 0	51
35	66	 0	 0	 0	 0	23
35	69	 0	 0	 0	 0	10
25	85	 0	 0	 0	 0	53
22	75	 0	 0	 0	 0	3
22	85	 0	 0	 0	 0	32
20	80	 0	 0	 0	 0	40
20	85	 0	 0	 0	 0	4
18	75	 0	 0	 0	 0	45
15	75	 0	 0	 0	 0	30
15	80	 0	 0	 0	 0	16
30	50	 0	 0	 0	 0	37
